     Row  Symbol          a1          a2          a3          a4          b1          b2          b3          b4           c
      62    cu+1   11.947500    7.357300    6.245500    1.557800    3.366900    0.227400    8.662500   25.848700    0.890000
      63    cu+2   11.816800    7.111810    5.781350    1.145230    3.374840    0.244078    7.987600   19.896999    1.144310
      64    zn     14.074300    7.031800    5.162500    2.410000    3.265500    0.233300   10.316299   58.709702    1.304100
      65    zn+2   11.971900    7.386200    6.466800    1.394000    2.994600    0.203100    7.082600   18.099499    0.780700
      66    ga     15.235400    6.700600    4.359100    2.962300    3.066900    0.241200   10.780500   61.413498    1.718900
      67    ga+3   12.691999    6.698830    6.066920    1.006600    2.812620    0.227890    6.364410   14.412200    1.535450
      68    ge     16.081600    6.374700    3.706800    3.683000    2.850900    0.251600   11.446800   54.762501    2.131300
      69    ge+4   12.917200    6.700030    6.067910    0.859041    2.537180    0.205855    5.479130   11.603000    1.455720
      70    as     16.672300    6.070100    3.431300    4.277900    2.634500    0.264700   12.947900   47.797199    2.531000
      71    se     17.000599    5.819600    3.973100    4.354300    2.409800    0.272600   15.237200   43.816299    2.840900
      72    br     17.178900    5.235800    5.637700    3.985100    2.172300   16.579599    0.260900   41.432800    2.955700
      73    br-1   17.171799    6.333800    5.575400    3.727200    2.205900   19.334499    0.287100   58.153500    3.177600
      74    kr     17.355499    6.728600    5.549300    3.537500    1.938400   16.562300    0.226100   39.397202    2.825000
      75    rb     17.178400    9.643499    5.139900    1.529200    1.788800   17.315100    0.274800  164.933990    3.487300
      76    rb+1   17.581600    7.659800    5.898100    2.781700    1.713900   14.795700    0.160300   31.208700    2.078200
      77    sr     17.566299    9.818399    5.422000    2.669400    1.556400   14.098800    0.166400  132.376007    2.506400
      78    sr+2   18.087400    8.137300    2.565400  -34.193001    1.490700   12.696300   24.565100   -0.013800   41.402500
      79    y      17.775999   10.294600    5.726290    3.265880    1.402900   12.800600    0.125599  104.353996    1.912130
      80    y+3    17.926800    9.153100    1.767950  -33.108002    1.354170   11.214500   22.659901   -0.013190   40.260201
      81    zr     17.876499   10.948000    5.417320    3.657210    1.276180   11.916000    0.117622   87.662697    2.069290
      82    zr+4   18.166800   10.056200    1.011180   -2.647900    1.214800   10.148300   21.605400   -0.102760    9.414539
      83    nb     17.614201   12.014400    4.041830    3.533460    1.188650   11.766000    0.204785   69.795700    3.755910
      84    nb+3   19.881199   18.065300   11.017700    1.947150    0.019175    1.133050   10.162100   28.338900  -12.912000
      85    nb+5   17.916300   13.341700   10.799000    0.337905    1.124460    0.028781    9.282060   25.722799   -6.393400
      86    mo      3.702500   17.235600   12.887600    3.742900    0.277200    1.095800   11.004000   61.658401    4.387500
      87    mo+3   21.166401   18.201700   11.742300    2.309510    0.014734    1.030310    9.536590   26.630699  -14.421000
      88    mo+5   21.014900   18.099199   11.463200    0.740625    0.014345    1.022380    8.788090   23.345200  -14.316000
      89    mo+6   17.887100   11.175000    6.578910    0.000000    1.036490    8.480610    0.058881    0.000000    0.344941
      90    tc     19.130100   11.094800    4.649010    2.712630    0.864132    8.144870   21.570700   86.847198    5.404280
